Video_Id,Title,Published_date,Views,Likes,Favorite,Comments
tKx-pJQZT5E,新加坡指挥家黄佳俊将出任日本爱乐乐团首席指挥,2022-05-18,870,13.0,0,1.0
f9Ihza4jcdI,5月18日新闻抢先看,2022-05-18,1243,9.0,0,2.0
Ydt_Trc81NI,你的智能家居产品安全吗？,2022-05-17,615,6.0,0,0.0
nHArEAVDL2k,韩国新总统尹锡悦 South Korea's New President Yoon Suk-yeol #早报播客 #东谈西论,2022-05-17,332,2.0,0,1.0
EgT7Oz-iUSM,5月17日新闻抢先看,2022-05-17,1253,17.0,0,0.0
CM7Kxf_6JxA,他们以骨灰撒土与至亲告别,2022-05-17,14616,79.0,0,6.0
IjL_lw1N4N4,新加坡树下半生的命运,2022-05-15,6874,70.0,0,2.0
FS7W77vOL8o,李显龙总理总结亚细安-美国特别峰会,2022-05-14,10845,115.0,0,29.0
VC_FqzEUzSE,93岁古早云吞面传奇人物话精彩人生,2022-05-14,14331,187.0,0,8.0
6XclmfpPp3E,5月13日新闻抢先看,2022-05-13,1477,15.0,0,1.0
BTI1u-7hLbs,李显龙总理鼓励亚细安国家加入印太经济框架,2022-05-13,3825,23.0,0,3.0
XobrTA1TeEA,收藏纪念品 与新航一起成长,2022-05-13,184,3.0,0,0.0
wwNkpzLzLlk,李显龙总理会见越南总理,2022-05-12,4094,30.0,0,1.0
DttDwupcJMc,【体育二三事 | 携手同行】新加坡羽坛夫妻档许永凯和陈薇涵携手13年 AllAboutSports: Singaporean badminton duo Terry Hee & Tan Wei Han,2022-05-12,37631,415.0,0,28.0
JVDslsEcUcI,5月12日新闻抢先看,2022-05-12,1274,20.0,0,0.0
mJXoWhW9qGs,朝鲜全境城市进入封锁状态,2022-05-12,17141,47.0,0,27.0
4aVUkr-5e80,西藏航空一航班重庆机场冲出跑道起火,2022-05-12,2784,2.0,0,0.0
jQsnfdGUaKk,5月11日新闻抢先看,2022-05-11,1537,23.0,0,2.0
S4L2ub82keA,当选总统  小马可斯：根据作为而非家族历史来评价我,2022-05-11,764,5.0,0,0.0
o9DpJjuPCXA,中国躺平的一代？Is China’s Young Generation ‘Lying Flat’? #早报播客 #东谈西论,2022-05-10,2057,27.0,0,14.0
AJe6oB7txXk,5月10日新闻抢先看,2022-05-10,1655,19.0,0,0.0
_pq0PFgBKZI,菲律宾选举现场直击  小马可斯大幅领先,2022-05-09,1229,9.0,0,5.0
z6eYDjHhXgo,5月9日新闻抢先看,2022-05-09,2035,23.0,0,1.0
wv7If6KkZ50,动物标本制作 爱与美的长存,2022-05-09,551,8.0,0,1.0
wxLjX2-pTgo,早报骑行3：体验不一样的新加坡河 骑一趟时空交叠之旅  | #CycleWithZaobao3 Experience Something Old & New Along Singapore River,2022-05-08,1774,20.0,0,0.0
wW346IfKfto,天使的翅膀,2022-05-08,54288,254.0,0,37.0
V5m7-SI92dE,90后公务员兼职福建戏班唱戏,2022-05-06,3361,25.0,0,4.0
R7aP2_lOJdc,总理伉俪获柔苏丹授予拿督勋衔,2022-05-06,47733,280.0,0,37.0
Y0utyxU7pFY,5月6日新闻抢先看,2022-05-06,1488,17.0,0,0.0
DGnBlJn7Jdw,本地首个综合雨水收集系统太阳能农场开幕,2022-05-06,401,2.0,0,0.0
z2N68gqq7Fs,冻卵  留住当妈妈的心愿,2022-05-05,450,2.0,0,2.0
6BcV-Wqx_X4,5月5日新闻抢先看,2022-05-05,1573,17.0,0,5.0
_vfy4eQYEFQ,【世界大解说】菲律宾总统选举  政二代对垒粉红浪潮,2022-05-04,4817,37.0,0,8.0
LxMoFc-iZwI,5月4日新闻抢先看,2022-05-04,1690,22.0,0,1.0
kXqzlvVSP4g,清零还是共存，中国防疫陷两难 China’s Zero-Covid Policy: No Way Out? #早报播客 #东谈西论,2022-05-03,2192,31.0,0,16.0
zZhD6kQYfxM,虽然我说不出来 可是我的世界很精彩,2022-05-03,871,11.0,0,1.0
zhQoj7L28MA,"早报骑行3：探索新加坡“小济州岛” 再访如切加东寻趣  | #CycleWithZaobao3 Explore SG's ""Jeju Island"" and Joo Chiat Katong",2022-05-01,6345,58.0,0,0.0
de-35QZwo6E,提升道路安全  车长骑士互换角色了解盲区,2022-04-30,1392,11.0,0,4.0
hZl9S1gcBbo,4月29日新闻抢先看,2022-04-29,1693,23.0,0,2.0
_gxeQDXNG8M,唱响梦想！听听“新空下”选手的建议,2022-04-29,731,8.0,0,0.0
9JY1WchXGhA,乐龄数码学堂开学了！,2022-04-28,1040,14.0,0,2.0
geU5hEZB3eQ,4月28日新闻抢先看,2022-04-28,1735,22.0,0,0.0
Zi5GW_wBGpw,4月27日新闻抢先看,2022-04-27,1797,26.0,0,1.0
c2CxkoMQvIg,你的垃圾不是我的家 听海洋生物无声呐喊,2022-04-26,387,12.0,0,2.0
9_HBNFffFmg,拜登与亚细安之约 Biden's Date with Asean #早报播客 #东谈西论,2022-04-26,475,8.0,0,0.0
TPRQt5JB_Ns,4月26日新闻抢先看,2022-04-26,1558,21.0,0,0.0
nfCzHtn-7Ik,潮间带“寻宝”  小生物别带走,2022-04-25,516,6.0,0,1.0
QtrV3DQKNkU,4月25日新闻抢先看,2022-04-25,2183,21.0,0,1.0
eIc_99OMcto,早报骑行3：探索新加坡东部环岛绿道 从划手湾骑到樟宜村 | #CycleWithZaobao3 To Explore Hidden Gems of SG Round Island Route,2022-04-24,1819,22.0,0,1.0
mC_JrSbtVe4,环岛徒步推“爱”，用彩虹照亮生活空间的魔法师,2022-04-24,783,18.0,0,1.0
fE2z45SSI_o,歌舞厅重现灯红酒绿  娱乐场所业者再出发,2022-04-23,1073,13.0,0,0.0
fyqOq9vzhKc,2022年法国总统选举 决战前夕,2022-04-23,710,12.0,0,0.0
IgA5F52hYLQ,政府放宽安全措施 室内仍要戴口罩,2022-04-22,5416,77.0,0,8.0
6tjnpVTNeCo,4月22日新闻抢先看,2022-04-22,1637,17.0,0,0.0
adMEdGfHgiU,威尼斯双年展新加坡馆  女性艺术家探讨纸本前世今生,2022-04-21,341,3.0,0,0.0
C5bxDzVh0Og,4月21日新闻抢先看,2022-04-21,2171,27.0,0,0.0
LL0MJycEads,来新14年  中国客工精通淡米尔语,2022-04-20,21460,360.0,0,45.0
McFAJGcSEjA,4月20日新闻抢先看,2022-04-20,1636,23.0,0,0.0
SAh_EKcHyxg,移民局推出货物新通关概念  加快通关程序,2022-04-20,485,8.0,0,0.0
gGY3KjOnMrU,新西兰总理阿德恩来访精彩瞬间,2022-04-19,3197,46.0,0,2.0
yTB8T7uq8tA,向左看向右转——法国总统大选为何这么重要？France’s Presidential Election 2022 #早报播客 #东谈西论,2022-04-19,797,8.0,0,3.0
0DW4iRI24jM,4月19日新闻抢先看,2022-04-19,1637,27.0,0,1.0
TuiHtEwZBpE,某个角落  还有个人需要帮助,2022-04-18,1277,31.0,0,5.0
VDUoFl4dMZk,4月18日新闻抢先看,2022-04-18,1779,25.0,0,1.0
OPSffTLKiHU,你的枕头“配”得上你的睡姿吗？Does your pillow match your sleep posture?- 生活情报站 What's Hot?,2022-04-18,498,4.0,0,0.0
6xRGXGoeMuI,黄循财接棒  李显龙总理解释推选过程,2022-04-16,9305,89.0,0,6.0
FVFT-tkzVGI,【热点评论】时势造英雄：领军人物黄循财,2022-04-16,15965,210.0,0,9.0
VLRcz-MA8Hg,黄循财：会努力赢得国人信任和支持,2022-04-16,5158,77.0,0,17.0
7ay6z9RDZcc,传统街戏的困境,2022-04-15,1830,12.0,0,2.0
nIHx2C5yrlo,兀兰关卡现车龙,2022-04-14,4104,30.0,0,0.0
sX9TARZPNEc,4月14日新闻抢先看,2022-04-14,2270,30.0,0,0.0
7jUtzcGZdMk,【世界大解说】女娲宣布回家  香港特首难为?,2022-04-14,2845,23.0,0,6.0
zPu6fr5pL98,汽车中央快速公路起火 一人受伤入院,2022-04-13,14998,195.0,0,2.0
Qh7ypTFf8Bo,纽约地铁枪击事件惊魂瞬间,2022-04-13,7669,26.0,0,2.0
5YMVbzvq9Fc,4月13日新闻抢先看,2022-04-13,1741,17.0,0,0.0
j7y-L3DReVk,人未老  头先秃？你中招了吗？Balding before you age? Are you one of them? - 生活情报站 What’s Hot?,2022-04-13,242,3.0,0,0.0
xXEIKEBZQWA,香港特首选举：“武官”治港意味什么？Hong Kong Chief Executive Election 2022 #早报播客 #东谈西论,2022-04-12,836,8.0,0,4.0
pd-Ks4p6dUE,三部门展开联合执法行动 12名外国注册车辆违规司机接罚单,2022-04-12,1027,11.0,0,0.0
u6fOcPyyNzI,4月12日新闻抢先看,2022-04-12,1656,22.0,0,0.0
kuCO4TcbkT4,五分钱，你能花完吗？,2022-04-12,2835,17.0,0,6.0
2uFKy1juCn8,“杀猪盘”网络诈骗 一夕间积蓄归零,2022-04-12,39296,345.0,0,84.0
cKKDsZBQKZs,19岁园艺达人  非主流择业投身绿化,2022-04-12,555,5.0,0,1.0
iLtJ6D30j1Q,4月11日新闻抢先看,2022-04-11,1717,14.0,0,1.0
_0SS-CGILBA,时隔两年首场流动歌台复办 驶入坟场表演,2022-04-10,24230,95.0,0,5.0
P-qfmKFYBy0,年中考取消后如何调整心态? 教育部长陈振声快问快答!,2022-04-10,1991,26.0,0,3.0
5oS4HJzYSgc,“细看香港”迷你展  免费学做迷你艺术品,2022-04-09,449,6.0,0,1.0
P_9Tih5t-xc,一分钟看“新生啤”,2022-04-08,574,7.0,0,1.0
7vW3thNmr6U,网红李安华语大挑战,2022-04-08,1500,17.0,0,1.0
p9ZYWXCHoXw,文礼持刀伤人案两嫌凶被押回现场,2022-04-08,26061,161.0,0,26.0
EePv_ehX-0U,4月8日新闻抢先看,2022-04-08,1519,20.0,0,0.0
28we52tiMUQ,斜杠人生：他是软件工程师  也是智能表盘设计师,2022-04-07,364,5.0,0,0.0
AkKnBJ3CN-A,4月7日新闻抢先看,2022-04-07,1902,20.0,0,0.0
kBaIX88H9Gw,【直播】地缘政治阴影下的全国两会：解读中国经济走向,2022-04-07,1745,18.0,0,2.0
OSEkK0Uzysk,民众俱乐部、居委会恢复唱歌活动,2022-04-07,841,7.0,0,0.0
gc4oYk1oypM,4月6日新闻抢先看,2022-04-06,2989,35.0,0,1.0
UCrUlIUbI6w,瑞士表展重磅回归：钟表与奇迹2022,2022-04-06,679,9.0,0,0.0
4dx7FXhtYuY,新加坡总理访美：小国大外交 Singapore PM’s visit to the US: Small state diplomacy #早报播客 #东谈西论,2022-04-05,2236,40.0,0,6.0
BcVT8FsEhy4,4月5日新闻抢先看,2022-04-05,2156,24.0,0,1.0
hbtCeOzfEaY,黄循财：能源价格高涨  给车油津贴是变相资助有钱人,2022-04-04,1079,10.0,0,1.0
n4RtGYoo7Es,4月4日新闻抢先看,2022-04-04,1923,31.0,0,2.0
Y6_Swnt_Ukw,新加坡的“特朗普” 用声音传递欢乐,2022-04-04,852,18.0,0,1.0
rPzKDRXHZOA,访新加坡海事局女局长,2022-04-04,735,12.0,0,1.0
IA1kZShvs6g,部长超市购物自带袋 不是为了省那5分钱,2022-04-04,6150,60.0,0,10.0
O17lDVX1s4c,李显龙总理参加美国外交关系协会对话会,2022-04-03,21991,283.0,0,43.0
bN430UrYbyU,组屋里的麻将雕刻师 | The Last Mahjong Maker In Singapore,2022-04-03,1577,24.0,0,6.0
ZAfMbNiRDqo,瑞士表展飘雪中在日内瓦重磅回归,2022-04-02,287,2.0,0,0.0
TTw1kujCe78,李显龙总理访美总结：希望中美双方坦白坦率坦诚讨论分歧矛盾,2022-04-02,12304,239.0,0,81.0
KZV6gbvvJJc,新马关卡重开 兀兰钱币兑换商盼带动生意,2022-04-01,2611,17.0,0,2.0
NJPBLwOUvS0,兀兰关卡重开 周边摊贩盼人潮回流,2022-04-01,6086,64.0,0,3.0
r1Y61qNb3OI,新马关卡重开首个周末 兀兰关卡外现人龙,2022-04-01,4419,37.0,0,5.0
OzZjZlG9Cig,【早城市】疫情下上海变空城 | From Our Correspondents: Shanghai under lockdown,2022-04-01,2413,11.0,0,2.0
IA82N48qDvg,4月1日新闻抢先看,2022-04-01,1874,29.0,0,1.0
bwu4bpylWko,屋顶装太阳能板  单月水电费仅一毛钱!,2022-04-01,13271,119.0,0,10.0
abx3aYhjeoc,出入境新马SOP 一分钟看懂！,2022-04-01,3749,37.0,0,1.0
Theh3lBZKHA,【世界大解说】氢能  为何成为全球绿色竞赛新宠,2022-04-01,61419,141.0,0,8.0
dF0xcGraHHU,【早现场】新马关卡重开,2022-04-01,6082,81.0,0,4.0
BhhkuONp2z8,新马陆路关卡重开  昔日车水马龙再现,2022-03-31,17012,159.0,0,24.0
D17sYO4bOE8,关卡全面开放 大士第二通道情况,2022-03-31,8408,82.0,0,7.0
